PATH, FILENAME, LINE, STATE, CUrRENT HINT, EXPECTED HINT, TOTAL #, TAKEN % , TAKEN, NOT TAKEN, NUM_BRANCHES, BRANCH TYPE, LINE OF CODE
/home/GabrielCSMO/devel/python/Objects, abstract.c, 2233, OVERFLOW, NONE, NONE, 1104, 34, 585, 519, 4, UNKNOWN, if (format && *format) {
/home/GabrielCSMO/devel/python/Parser, pgen.c, 650, MISSING, NONE, UNEXPECTED, 85, 0, 0, 85, 2, UNKNOWN, if (Py_DebugFlag) {
/home/GabrielCSMO/devel/python/Objects, memoryobject.c, 2117, OVERFLOW, NONE, NONE, 4, 50, 4, 0, 4, UNKNOWN, CHECK_RELEASED(mv);
/home/GabrielCSMO/devel/python/Objects, abstract.c, 2234, MISSING, NONE, EXPECTED, 563, 70, 395, 168, 2, UNKNOWN, if (is_size_t)
/home/GabrielCSMO/devel/python/Objects, unicode_format.h, 123, MISSING, NONE, EXPECTED, 304, 98, 298, 6, 2, UNKNOWN, if (digitval < 0)
/home/GabrielCSMO/devel/python/Objects, unicodeobject.c, 14945, MISSING, NONE, UNEXPECTED, 5, 0, 0, 5, 2, UNKNOWN, if (PyType_Ready(&PyFieldNameIter_Type) < 0)
/home/GabrielCSMO/devel/python/Objects, unicode_format.h, 501, MISSING, NONE, EXPECTED, 2353, 91, 2144, 209, 2, UNKNOWN, if (PyUnicode_CheckExact(fieldobj))
/home/GabrielCSMO/devel/python/Objects, unicode_format.h, 503, MISSING, NONE, EXPECTED, 209, 100, 209, 0, 2, UNKNOWN, else if (PyLong_CheckExact(fieldobj))
/home/GabrielCSMO/devel/python/Objects, tupleobject.c, 209, MISSING, NONE, UNEXPECTED, 3175164, 0, 0, 3175164, 2, UNKNOWN, if (result == NULL) {
/home/GabrielCSMO/devel/python/Objects, fastsearch.h, 102, OVERFLOW, NONE, NONE, 11144, 0, 5024, 6120, 8, UNKNOWN, if (n > 10 && (mode == FAST_SEARCH
/home/GabrielCSMO/devel/python/Objects, obmalloc.c, 341, MISSING, NONE, UNEXPECTED, 3205830, 0, 0, 3205830, 2, UNKNOWN, if (new_size > (size_t)PY_SSIZE_T_MAX)
/home/GabrielCSMO/devel/python/Objects, unicodeobject.c, 14496, OVERFLOW, NONE, NONE, 217, 50, 217, 0, 4, UNKNOWN, if (ch == '-' || ch == '+') {
/home/GabrielCSMO/devel/python/Objects, typeobject.c, 4839, MISSING, NONE, UNEXPECTED, 6549, 15, 1015, 5534, 2, UNKNOWN, if (!(type->tp_flags & Py_TPFLAGS_HEAPTYPE))
/home/GabrielCSMO/devel/python/Objects, rangeobject.c, 1130, MISSING, NONE, UNEXPECTED, 3600668, 0, 0, 3600668, 2, UNKNOWN, if (lstop == -1 && PyErr_Occurred()) {
/home/GabrielCSMO/devel/python/Objects, rangeobject.c, 1135, MISSING, NONE, UNEXPECTED, 3600668, 0, 0, 3600668, 2, UNKNOWN, if (lstep == -1 && PyErr_Occurred()) {
/home/GabrielCSMO/devel/python/Python, pythonrun.c, 952, MISSING, NONE, EXPECTED, 2, 100, 2, 0, 2, UNKNOWN, if (r)
/home/GabrielCSMO/devel/python/Python, pythonrun.c, 953, MISSING, NONE, UNEXPECTED, 2, 0, 0, 2, 2, UNKNOWN, Py_DECREF(r);
/home/GabrielCSMO/devel/python/Python, pythonrun.c, 950, MISSING, NONE, EXPECTED, 2, 100, 2, 0, 2, UNKNOWN, if (f != NULL) {
/home/GabrielCSMO/devel/python/Modules, _functoolsmodule.c, 132, OVERFLOW, NONE, NONE, 13, 50, 13, 0, 4, UNKNOWN, Py_XDECREF(pto->kw);
/home/GabrielCSMO/devel/python/Modules, _functoolsmodule.c, 133, MISSING, NONE, UNEXPECTED, 13, 0, 0, 13, 2, UNKNOWN, Py_XDECREF(pto->dict);
/home/GabrielCSMO/devel/python/Modules, _functoolsmodule.c, 130, OVERFLOW, NONE, NONE, 13, 50, 13, 0, 4, UNKNOWN, Py_XDECREF(pto->fn);
/home/GabrielCSMO/devel/python/Modules, _functoolsmodule.c, 131, OVERFLOW, NONE, NONE, 13, 50, 13, 0, 4, UNKNOWN, Py_XDECREF(pto->args);
/home/GabrielCSMO/devel/python/Objects, dictobject.c, 1358, MISSING, NONE, EXPECTED, 3643752, 100, 3643752, 0, 2, UNKNOWN, if (pvalue)
/home/GabrielCSMO/devel/python/Python, modsupport.c, 166, MISSING, NONE, UNEXPECTED, 7861, 0, 0, 7861, 2, UNKNOWN, if (itemfailed) {
